,Unnamed: 0.1,Unnamed: 0,Subject,Course Title,Description,Institute,Provider,Instructor,Language,Rating,Course_Link
56221,6676,,Javascript,Apprendre et Maîtriser JavaScript,01   Closure ou fonction Anonyme en  javascript  Niveau moyen 02  Higher Order Functions en JavaScript  Niveau moyen 03   Map   Filter en  javascript  Niveau moyen 04   Reduce couteau suisse du d veloppeur Javascript  Niveau moyen 05   Les collections et la fonction take  en Javascript  Niveau moyen 06   Basic  function composition   Point Free style en JavaScript  Niveau moyen 07    Compositions de plusieurs fonctions   JavaScript  Niveau moyen Techniques et  patterns de la programmation fonctionnelle en  javascript  Niveau moyen ,-1,YouTube,"Taught by
Hassane Moustapha",French,-1.0,https://www.classcentral.com/course/youtube-apprendre-et-maitriser-javascript-93103
56222,6677,,Go,Go context package,39   Introduction   Go  golang  Graceful shutdown using os Signal  Niveau avanc 40   introduction   Go   graceful shutdown   Context cancellation  Niveau avanc 41   Introduction to Go   Propagation   Cancellation using context Context  Niveau avanc 45   Introduction   Go  Handling HTTP Client Presence  Niveau avanc 46   Introduction    Go  Test Drive Development   Go  Niveau moyen ,-1,YouTube,"Taught by
Hassane Moustapha",French,-1.0,https://www.classcentral.com/course/youtube-go-context-package-93104
56223,6678,,Go,Testing (TDD) Go Application,46   Introduction    Go  Test Drive Development   Go  Niveau moyen 47   Introduction    Go   Testing Go packages  Niveau moyen 48   Introduction   Go   Describe   Context in Testing Go  Niveau moyen 49   Introduction   Go  Testing Go with Assert package  Niveau moyen ,-1,YouTube,"Taught by
Hassane Moustapha",French,-1.0,https://www.classcentral.com/course/youtube-testing-tdd-go-application-93105
56224,6679,,Go,HTTP Client & Server in Go,44   Introduction    Go  Configuring  HTTP Server  Niveau avanc 45   Introduction   Go  Handling HTTP Client Presence  Niveau avanc 50   Introduction   Go   Database timeout   query cancellation  Niveau avanc 53   jwt go   Generate   Verify JWT tokens 54   Go  JWT   Prot ger un Handler HTTP avec JWT 54   Go  JWT   Prot ger un Handler HTTP avec JWT ,-1,YouTube,"Taught by
Hassane Moustapha",French,-1.0,https://www.classcentral.com/course/youtube-http-client-server-in-go-93106
56225,6680,,Go,Building applications using Go & Redis,30   Introduction to Go   Redis   Go  Niveau moyen 31   Introduction   Go   Redis   Expiration time  Niveau moyen 32   Introduction   Go   Redis   Hashes  Niveau moyen 33   Introduction   Go  Redis   Ordered Sets   part 1  Niveau moyen 34   Introduction   Go   Redis   Sorted Sets   part 2  Niveau moyen 35   Introduction   Go   Redis   PubSub  Niveau moyen 36   Introduction to Go  Redis   Pattern PubSub  Niveau moyen 37   Introduction   Go  Event Sourcing using Redis  Niveau avanc 42   Introduction    Go  GeoLocation Using Go    Redis  Niveau moyen 43   Introduction   Go   GeoLocation application using Go   Redis   part 2  Niveau moyen ,-1,YouTube,"Taught by
Hassane Moustapha",French,-1.0,https://www.classcentral.com/course/youtube-building-applications-using-go-redis-93107
56226,6681,,Go,Configuring Go applications,26   Introduction   Go  golang  Configuration file using the JSON format  Niveau moyen 27   Introduction   Go  golang  Configuration using YAML file  Niveau moyen 28   Introduction   Go  golang  Toml Configuration  Niveau moyen 29   Introduction   Go  golang  Passing flag Config  Niveau moyen ,-1,YouTube,"Taught by
Hassane Moustapha",French,-1.0,https://www.classcentral.com/course/youtube-configuring-go-applications-93108
56227,6682,,Go,Apprendre et maîtriser GoLang,01   Introduction   Go  golang    pr sentation du programme de la s rie  Niveau d butant 02   Introduction   Go  golang  Choix d'un  diteur de texte   plugins  Niveau d butant 03   Introduction   Go  golang  Anatomie d'un fichier soure Go  Niveau d butant 04   Introduction   Go  golang  les types de base  partie 1   Niveau d butant 05   Introduction   Go  golang  Les types de donn es   suite  Niveau d butant 06   Introduction to Go  golang  Structs   methods  Niveau d butant 07   Introduction   Go  golang  Structs  embedded structs   function receiver  Niveau d butant 08   Introduction   Go  golang  Les interfaces   polymorphisme  Niveau d butant 09   Introduction   Go  golang  Les fonctions en Go  Niveau d butant 10   Introduction   Go  golang  Les modules et Packages  Niveau d butant 11   Introduction   Go  golang  Defer  Panic   Recover  Niveau moyen 12   Introduction   Go  golang  Serialisation   D serialisation JSON en Go  Niveau moyen 13   Introduction   Go  golang  Basic Http Client  Niveau moyen 14   Introduction   Go  golang  Goroutines   Sync WaitGroups  Niveau moyen 15   Introduction   Go  golang  Concurrency   Channels  Niveau avanc 16   Introduction   Go  golang    Basic Http Server in Go  Niveau moyen 17   Introduction   Go  golang  Http default Serve Mux  Niveau moyen 19   Introduction    Go   HTTP  Handler   Middlewares  Niveau moyen 20   Introduction   Go  golang  Les middlewares HTTP Handler vs HandlerFunc  Niveau moyen 21   Introduction   Go  golang  Dockerizing Go application  Niveau avanc 22   Introduction   Go  golang    Go   Database  Niveau moyen 23   Introduction   Go  golang  Simple API avec Go et PostgreSQL  Niveau moyen 24   Introduction   Go  golang  D couverte de Gorilla Toolkit  Niveau moyen 25   Introduction   Go  golang  Gorilla Mux   Sub Router  Niveau moyen 26   Introduction   Go  golang  Configuration file using the JSON format  Niveau moyen 27   Introduction   Go  golang  Configuration using YAML file  Niveau moyen 28   Introduction   Go  golang  Toml Configuration  Niveau moyen 29   Introduction   Go  golang  Passing flag Config  Niveau moyen 30   Introduction to Go   Redis   Go  Niveau moyen 31   Introduction   Go   Redis   Expiration time  Niveau moyen 32   Introduction   Go   Redis   Hashes  Niveau moyen 33   Introduction   Go  Redis   Ordered Sets   part 1  Niveau moyen 34   Introduction   Go   Redis   Sorted Sets   part 2  Niveau moyen 35   Introduction   Go   Redis   PubSub  Niveau moyen 36   Introduction to Go  Redis   Pattern PubSub  Niveau moyen 37   Introduction   Go  Event Sourcing using Redis  Niveau avanc 38   Introduction   Go  Dependencies   Go modules  Niveau moyen 39   Introduction   Go  golang  Graceful shutdown using os Signal  Niveau avanc 40   introduction   Go   graceful shutdown   Context cancellation  Niveau avanc 41   Introduction to Go   Propagation   Cancellation using context Context  Niveau avanc 42   Introduction    Go  GeoLocation Using Go    Redis  Niveau moyen 43   Introduction   Go   GeoLocation application using Go   Redis   part 2  Niveau moyen 44   Introduction    Go  Configuring  HTTP Server  Niveau avanc 45   Introduction   Go  Handling HTTP Client Presence  Niveau avanc 46   Introduction    Go  Test Drive Development   Go  Niveau moyen 47   Introduction    Go   Testing Go packages  Niveau moyen 48   Introduction   Go   Describe   Context in Testing Go  Niveau moyen 49   Introduction   Go  Testing Go with Assert package  Niveau moyen 50   Introduction   Go   Database timeout   query cancellation  Niveau avanc 50   Introduction   Go   Database timeout   query cancellation  Niveau avanc 51   Le pattern Publish Subscribe avec Go   channels  Niveau moyen 52   Introduction   Go golang  Chi Router 53   jwt go   Generate   Verify JWT tokens 54   Go  JWT   Prot ger un Handler HTTP avec JWT 54   Go  JWT   Prot ger un Handler HTTP avec JWT 55   Apache Kafka   Go   premiers pas avec les Producers Kafka 56   Apache kafka   Golang   Votre premier Consumer Apache Kafka 57   Apache kafka   Golang   Les Consumer Groups ,-1,YouTube,"Taught by
Hassane Moustapha",French,-1.0,https://www.classcentral.com/course/youtube-apprendre-et-maitriser-golang-93109
56228,6683,,React,Apprendre React.js - de la base à la maîtrise,Apprendre React js   Episode 1   installation de create react app  Apprendre ReactJS   Episode 2   K sako  Apprendre ReactJS  Episode 3   Structure de l'app et utilisation de plusieurs composants Apprendre ReactJS  Episode 4   Les interactions avec les components Apprendre ReactJS   Episode 5   Les interactions entre Components   partie 1 Apprendre ReactJS   Episode 6   les interactions entre plusieurs composants Apprendre ReactJS  Episode 7   Bindings and PropTypes   partie 1 Apprendre ReactJS  Episode 7   Bindings and PropTypes   partie 2 Apprendre ReactJS   Episode 8   Cycle de vie d'un component React Apprendre reactjs  Episode 9   reusable components ,-1,YouTube,"Taught by
Hassane Moustapha",French,-1.0,https://www.classcentral.com/course/youtube-apprendre-react-js-de-la-base-a-la-maitrise-93110
56301,6756,,ArcGIS,Python et ArcMap,ArcGis   Introduction   Python et au Calculateur de champs  field caculator Python et ArcMap Cours 1   Automatisation des geoprocess avec arcpy Une Lanterne Dans La Nuit   ESMA 2019 L'esth tique et la torture   La dr le d humeur de Marina Rollman ,-1,YouTube,"Taught by
GeoForm",French,-1.0,https://www.classcentral.com/course/youtube-python-et-arcmap-93286
56759,7214,,-1,"Tissage, broderie et punch needle : création d'un tableau textile",D couvrez l art du fil et jouez avec les textures de la laine  du coton et des perles pour cr er de magnifiques tableaux d coratifs Introduction  Les mat riels et les techniques  Le cadre multi techniques  Votre cr ation dans le monde    Projet final Julie Robert imagine ses cr ations textiles comme des toiles de peinture et accorde beaucoup d importance   la sensation du toucher et   la manipulation des textures  Sa pratique de la broderie et du tissage est po tique et apaisante      ses c t s  vous d couvrirez trois techniques traditionnelles de l art du fil   le punch needle  le tissage et la broderie  Elles vous permettront de cr er une pi ce murale chaude et riche en volumes pour d corer votre int rieur de fa on unique  Et ce m me si vous n avez jamais brod  auparavant  ,-1,Domestika,"Taught by
Julie Robert",French,-1.0,https://www.classcentral.com/course/domestika-2589-weaving-embroidery-punch-needle-cr-93767
